
Time Dependent Production (Energy Units) ELECTRICITY FROM TRANSMISSION

,DRC
,Region,year ,fuel,,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,TS22,TS23,TS24,TS25,TS26,TS27,TS28,TS29,TS30,TS31,TS32,TS33,TS34,TS35,TS36,TS37,TS38,TS39,TS40
,DRC,2020,D3ELC01,,0.0496892,0.0288526,0.0395229,0.0421604,0.0653585,0.053684,0.0399414,0.056111,0.0528803,0.0202241,0.0374896,0.0286294,0.039032,0.0416106,0.0644573,0.0531409,0.0394001,0.0549461,0.0518614,0.020002,0.0379901,0.0289055,0.0394174,0.0423302,0.0651769,0.0537018,0.0396423,0.0556304,0.0529741,0.0203179,0.0371,0.0282772,0.0386406,0.0413712,0.0640076,0.0528727,0.0389997,0.0542558,0.0515988,0.0199089
,DRC,2021,D3ELC01,,0.0884391,0.0513691,0.0703659,0.0750594,0.116342,0.0955688,0.071096,0.0998579,0.094107,0.035992,0.0667293,0.0509716,0.0694919,0.0740806,0.114738,0.0946018,0.0701324,0.0977849,0.0922938,0.0355968,0.0676201,0.0514633,0.0701781,0.0753616,0.116019,0.0956003,0.0705637,0.0990027,0.0942739,0.0361589,0.0660358,0.0503446,0.068795,0.0736543,0.113938,0.0941242,0.0694197,0.0965564,0.0918264,0.0354311
,DRC,2022,D3ELC01,,0.126522,0.0734984,0.100678,0.107393,0.166449,0.136733,0.101715,0.142852,0.134625,0.0514888,0.0954661,0.0729295,0.099428,0.105992,0.164154,0.13535,0.100336,0.139887,0.132031,0.0509234,0.0967406,0.073633,0.162794,0.204695,0.178678,0.136778,0.100953,0.141629,0.134863,0.0517275,0.094474,0.0720325,0.0984308,0.105382,0.163009,0.134666,0.0993166,0.138129,0.131362,0.0506862
,DRC,2023,D3ELC01,,0.163956,0.0952502,0.130474,0.139174,0.215702,0.177195,0.131811,0.185114,0.174451,0.0667212,0.123713,0.094513,0.128854,0.13736,0.212728,0.175403,0.130025,0.181271,0.17109,0.0659886,0.125364,0.0954247,0.130126,0.139735,0.215103,0.177254,0.130825,0.183528,0.174761,0.0670306,0.122427,0.0933505,0.127561,0.136569,0.211243,0.174517,0.128704,0.178994,0.170224,0.0656813
,DRC,2024,D3ELC01,,0.200757,0.116634,0.159766,0.170419,0.264122,0.216974,0.161399,0.226661,0.213605,0.0816961,0.151482,0.115732,0.157782,0.168197,0.26048,0.214778,0.159212,0.221955,0.209489,0.080799,0.153504,0.116848,0.15934,0.171105,0.263388,0.217045,0.160191,0.224719,0.213983,0.0820749,0.149908,0.114308,0.156199,0.167228,0.258662,0.213694,0.157594,0.219167,0.208428,0.0804228
,DRC,2025,D3ELC01,,0.236942,0.13766,0.188566,0.201139,0.311729,0.256085,0.190491,0.267511,0.252101,0.09642,0.178786,0.136594,0.186225,0.198517,0.307432,0.253494,0.187909,0.261957,0.247244,0.0953612,0.181172,0.137912,0.188064,0.204695,0.310864,0.25617,0.189065,0.26522,0.252548,0.096867,0.176928,0.134914,0.184357,0.197374,0.305286,0.252214,0.186,0.258666,0.245992,0.0949171
,DRC,2026,D3ELC01,,0.272524,0.158336,0.216888,0.231349,0.358546,0.294546,0.219098,0.307682,0.289958,0.110899,0.205635,0.15711,0.214195,0.228332,0.353603,0.291566,0.216129,0.301294,0.284372,0.109681,0.20838,0.158626,0.21631,0.23228,0.35755,0.294643,0.217459,0.305047,0.290472,0.111413,0.203498,0.155178,0.212046,0.227018,0.351135,0.290093,0.213933,0.297509,0.282932,0.10917
,DRC,2027,D3ELC01,,0.30752,0.178671,0.244743,0.261061,0.40459,0.332373,0.247235,0.34719,0.327191,0.125139,0.232042,0.177288,0.241703,0.257657,0.399012,0.32901,0.243884,0.339983,0.320887,0.123765,0.23514,0.178998,0.24409,0.262111,0.403467,0.332483,0.245384,0.344217,0.327771,0.125719,0.229631,0.175107,0.239279,0.256173,0.396227,0.327348,0.241406,0.335711,0.319262,0.123189
,DRC,2028,D3ELC01,,0.341943,0.198673,0.272142,0.290286,0.449881,0.369581,0.274911,0.386053,0.363814,0.139147,0.258017,0.197136,0.268762,0.286501,0.443679,0.365841,0.271185,0.378038,0.356805,0.137619,0.261462,0.199037,0.271416,0.291455,0.448633,0.369703,0.272853,0.382746,0.364459,0.139792,0.255336,0.194711,0.266067,0.284852,0.440583,0.363994,0.268429,0.373289,0.354998,0.136978
,DRC,2029,D3ELC01,,0.375808,0.218351,0.299097,0.319038,0.494438,0.406185,0.302138,0.424285,0.399844,0.152927,0.283571,0.216661,0.295382,0.314878,0.487621,0.402075,0.298043,0.415477,0.39214,0.151247,0.287356,0.218751,0.298299,0.320322,0.493065,0.40632,0.299877,0.420651,0.400553,0.153636,0.280624,0.213996,0.29242,0.313065,0.484218,0.400045,0.295014,0.410257,0.390154,0.150543
