
Time Dependent Production (Energy Units) ELECTRICITY FROM TRANSMISSION

,DRC
,Region,year ,fuel,,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,TS22,TS23,TS24,TS25,TS26,TS27,TS28,TS29,TS30,TS31,TS32,TS33,TS34,TS35,TS36,TS37,TS38,TS39,TS40
,DRC,2020,D3ELC01,,0.0496892,0.0288526,0.0395229,0.0421604,0.0653585,0.053684,0.0399414,0.056111,0.0528803,0.0202241,0.0374896,0.0286294,0.039032,0.0416106,0.0644573,0.0531409,0.0394001,0.0549461,0.0518614,0.020002,0.0379901,0.0289055,0.0394174,0.0423302,0.0651769,0.0537018,0.0396423,0.0556304,0.0529741,0.0203179,0.0371,0.0282772,0.0386406,0.0413712,0.0640076,0.0528727,0.0389997,0.0542558,0.0515988,0.0199089
,DRC,2021,D3ELC01,,0.0748431,0.0407891,0.0559729,0.0600838,0.0960352,0.0775932,0.0590848,0.0863598,0.0816183,0.0310926,0.0558568,0.0404876,0.0552711,0.0592873,0.0946939,0.0768141,0.0582734,0.0845569,0.0800387,0.0307521,0.0566059,0.040873,0.0558085,0.060347,0.0957537,0.0776223,0.0586173,0.0856107,0.0817644,0.0312388,0.0552763,0.0399851,0.0547229,0.0589733,0.0940577,0.0764594,0.0576845,0.0834922,0.0796392,0.0306126
,DRC,2022,D3ELC01,,0.0995644,0.0525204,0.07214,0.0776988,0.126184,0.101091,0.077899,0.116088,0.109862,0.0417742,0.0739081,0.0521419,0.0712309,0.0766599,0.12441,0.10008,0.0768221,0.113658,0.107731,0.0413173,0.0749016,0.0526347,0.109539,0.137733,0.125805,0.101131,0.0772658,0.115075,0.11006,0.0419719,0.07314,0.0514917,0.0705286,0.0762726,0.123591,0.0996405,0.076048,0.112226,0.107197,0.0411322
,DRC,2023,D3ELC01,,0.123864,0.0640516,0.0880314,0.127721,0.155819,0.124188,0.0963923,0.14531,0.137624,0.0522737,0.0916517,0.0635975,0.0956916,0.122586,0.15362,0.12295,0.0950545,0.142263,0.134952,0.0517024,0.0928853,0.0641958,0.0877521,0.0954589,0.155343,0.12424,0.0955964,0.144038,0.137872,0.0525219,0.090699,0.062802,0.0860648,0.0932769,0.152621,0.122426,0.0940984,0.140469,0.134286,0.0514724
,DRC,2024,D3ELC01,,0.147753,0.0753878,0.103654,0.112035,0.184953,0.146895,0.114573,0.174037,0.164917,0.0625956,0.109095,0.0748593,0.102341,0.122586,0.182336,0.145432,0.112979,0.170385,0.161712,0.0619118,0.110565,0.0755614,0.103319,0.11257,0.184382,0.146957,0.113617,0.17251,0.165215,0.0628936,0.107961,0.0739211,0.101338,0.109994,0.181159,0.144827,0.111843,0.168235,0.160916,0.0616378
,DRC,2025,D3ELC01,,0.171241,0.0865339,0.119015,0.128772,0.213599,0.169221,0.132449,0.202283,0.191752,0.0727444,0.126246,0.0859324,0.117505,0.12703,0.210571,0.167538,0.130602,0.198035,0.188023,0.0719501,0.127948,0.0867365,0.118625,0.137733,0.212934,0.169294,0.131335,0.200505,0.192099,0.0730914,0.124934,0.0848538,0.116356,0.12643,0.20922,0.166852,0.129291,0.195536,0.187099,0.0716327
,DRC,2026,D3ELC01,,0.194339,0.0974948,0.13412,0.14523,0.241768,0.191176,0.150027,0.23006,0.218141,0.0827245,0.143112,0.0968213,0.132416,0.143262,0.238336,0.189276,0.147933,0.225225,0.213897,0.0818214,0.145042,0.0977257,0.133676,0.145938,0.241011,0.191259,0.148759,0.228035,0.218536,0.0831196,0.141625,0.0956047,0.131123,0.142593,0.236813,0.18851,0.146449,0.222382,0.212848,0.0814615
,DRC,2027,D3ELC01,,0.217056,0.108275,0.148977,0.161417,0.269473,0.212769,0.167316,0.257378,0.244094,0.0925401,0.1597,0.107531,0.147082,0.159226,0.265643,0.210656,0.164978,0.251967,0.239345,0.09153,0.161855,0.108534,0.148479,0.162209,0.268626,0.212862,0.165896,0.255111,0.244537,0.0929824,0.15804,0.106178,0.145648,0.15849,0.263952,0.209812,0.163323,0.248786,0.238172,0.0911282
,DRC,2028,D3ELC01,,0.239402,0.118879,0.16359,0.177339,0.296724,0.234008,0.184322,0.284249,0.269624,0.102195,0.176016,0.118065,0.161508,0.174929,0.292504,0.231686,0.181744,0.278272,0.264376,0.10108,0.178392,0.119165,0.16304,0.178214,0.295788,0.234111,0.182752,0.281744,0.270113,0.102684,0.174187,0.116579,0.159934,0.174127,0.290647,0.230765,0.179922,0.274758,0.263081,0.100637
,DRC,2029,D3ELC01,,0.261384,0.12931,0.177966,0.193003,0.323534,0.254903,0.201052,0.310685,0.294739,0.111693,0.192068,0.128428,0.1757,0.190377,0.318928,0.252375,0.198238,0.30415,0.289001,0.110475,0.194661,0.129624,0.177365,0.193959,0.32251,0.255016,0.199335,0.307944,0.295273,0.112228,0.190072,0.126811,0.173989,0.18951,0.316909,0.251378,0.196251,0.300309,0.287587,0.109991
,DRC,2030,D3ELC01,,0.283014,0.139574,0.192111,0.208415,0.349912,0.275462,0.217513,0.336695,0.31945,0.121039,0.207861,0.138625,0.189663,0.205577,0.344928,0.272731,0.214466,0.329611,0.31323,0.119718,0.210668,0.139914,0.191459,0.209452,0.348803,0.275585,0.215651,0.333724,0.320029,0.121619,0.205701,0.136878,0.187818,0.204645,0.342748,0.27166,0.212318,0.325448,0.311698,0.119195
,DRC,2031,D3ELC01,,0.304247,0.148192,0.204053,0.221677,0.374491,0.29386,0.233085,0.363236,0.344784,0.130558,0.223032,0.147195,0.201448,0.218648,0.369144,0.290951,0.229812,0.355587,0.338066,0.129134,0.226046,0.14856,0.203349,0.222796,0.373293,0.293993,0.231071,0.360024,0.34541,0.131184,0.220714,0.145337,0.199493,0.217678,0.366829,0.289834,0.227512,0.351095,0.336416,0.128572
,DRC,2032,D3ELC01,,0.325144,0.156673,0.215807,0.234728,0.39868,0.311966,0.24841,0.389357,0.369716,0.139926,0.237962,0.15563,0.213047,0.231512,0.392977,0.308882,0.244915,0.381152,0.362509,0.1384,0.24118,0.15707,0.21505,0.23593,0.397395,0.31211,0.246247,0.385909,0.370389,0.140599,0.235489,0.153662,0.210983,0.230505,0.390529,0.30772,0.242466,0.376335,0.360743,0.1378
,DRC,2033,D3ELC01,,0.345712,0.165021,0.227376,0.247575,0.42249,0.329788,0.263494,0.415067,0.394257,0.149147,0.252658,0.163933,0.224463,0.244173,0.416435,0.326531,0.259781,0.406315,0.386567,0.147521,0.256077,0.165445,0.226568,0.248857,0.421118,0.329943,0.261185,0.411386,0.394975,0.149865,0.250032,0.161856,0.222293,0.24313,0.413856,0.325324,0.257185,0.401179,0.384688,0.146883
