
Time Dependent Production (Energy Units) ELECTRICITY FROM TRANSMISSION

,DRC
,Region,year ,fuel,,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,TS22,TS23,TS24,TS25,TS26,TS27,TS28,TS29,TS30,TS31,TS32,TS33,TS34,TS35,TS36,TS37,TS38,TS39,TS40
,DRC,2020,D1ELC01,,1.40303,0.163104,0.191511,0.202266,0.343797,0.261989,0.539615,0.711471,0.698991,0.190326,0.653252,0.209643,0.300078,0.567791,0.699745,0.638438,0.579723,0.699745,0.522649,0.342304,1.40265,0.163399,0.191114,0.20303,0.296731,0.246212,0.209477,0.285199,0.280198,0.1467,1.37162,0.300078,0.300078,0.562589,0.574164,0.496463,0.436118,0.554751,0.545586,0.502934
,DRC,2020,D2ELC01,,0.989255,0.355728,0.375201,0.381524,0.436303,0.407278,0.385374,0.43134,0.425283,0.348363,0.977929,0.352198,0.371134,0.377255,0.43126,0.403049,0.38108,0.425549,0.419708,0.344692,0.988823,0.355884,0.374974,0.381915,0.435912,0.407352,0.384754,0.430247,0.425447,0.348582,0.967162,0.348223,0.367095,0.373616,0.427013,0.39933,0.376898,0.420525,0.415794,0.341185
,DRC,2021,D1ELC01,,1.62818,0.287885,0.345077,0.536476,0.833339,0.325259,0.244604,0.402453,0.359773,0.273093,1.58065,0.513659,0.645041,0.664771,0.812766,0.776428,0.678718,0.714487,0.321125,0.168793,1.62775,0.190289,0.22266,0.236577,0.415007,0.320787,0.244104,0.394548,0.382788,0.2562,0.411305,0.186153,0.2182,0.231134,0.338396,0.281681,0.238776,0.323693,0.318806,0.584055
,DRC,2021,D2ELC01,,1.14703,0.412777,0.435589,0.442997,0.50717,0.473167,0.447508,0.501357,0.494261,0.40415,1.1339,0.408684,0.430866,0.438037,0.501304,0.468255,0.442518,0.494615,0.487772,0.39989,1.14653,0.41296,0.435323,0.443455,0.506712,0.473254,0.446781,0.500076,0.494453,0.404406,1.12141,0.40407,0.426178,0.433817,0.496372,0.463941,0.437663,0.488772,0.48323,0.395826
,DRC,2022,D1ELC01,,1.48697,0.218516,0.291139,0.274921,0.45366,0.449915,0.281553,0.493395,0.485568,0.196112,1.84592,0.294969,0.306957,0.267866,0.42772,0.461952,0.278508,0.6532,0.471054,0.194123,1.8667,0.218914,0.314591,0.272299,0.398513,0.439684,0.280977,0.714413,0.50955,0.196409,1.32348,0.214155,0.251117,0.266033,0.413628,0.455309,0.274844,0.635438,0.462902,0.192518
,DRC,2022,D2ELC01,,1.31455,0.473377,0.499755,0.508321,0.582527,0.543208,0.513537,0.575806,0.5676,0.463401,1.2995,0.468684,0.494334,0.502627,0.575784,0.537569,0.507809,0.56805,0.560138,0.458516,1.31398,0.473587,0.499447,0.508851,0.581997,0.543308,0.512696,0.574324,0.567822,0.463697,1.28519,0.463393,0.488956,0.49779,0.570124,0.532624,0.502237,0.561337,0.554928,0.453859
,DRC,2023,D1ELC01,,1.77301,0.281519,0.292432,0.308961,0.454611,0.375842,0.320689,0.685439,0.589938,0.223202,0.99216,0.246721,0.289053,0.305082,0.448881,0.371928,0.31722,0.908424,0.699745,0.220937,1.76894,0.249222,0.291822,0.310134,0.454137,0.3765,0.320031,0.510101,0.574213,0.22354,0.796754,0.243804,0.285978,0.302996,0.444138,0.36951,0.405644,0.714487,0.554324,0.233428
,DRC,2023,D2ELC01,,1.49152,0.537422,0.567587,0.577383,0.662242,0.617278,0.583348,0.654557,0.645173,0.526015,1.47444,0.532097,0.56143,0.570912,0.654573,0.61087,0.576839,0.645729,0.636681,0.52047,1.49087,0.537663,0.567235,0.577989,0.661636,0.617392,0.582387,0.652863,0.645427,0.526354,1.45821,0.526089,0.555322,0.565424,0.648143,0.605258,0.57051,0.638095,0.630766,0.515187
,DRC,2024,D1ELC01,,1.68076,0.280652,0.330009,0.348693,0.51333,0.424294,0.361946,0.566944,0.554185,0.251748,1.73806,0.278343,0.326196,0.344314,0.506859,0.419875,0.358032,0.604121,0.535527,0.249194,0.829488,0.281165,0.32932,0.350019,0.512794,0.425037,0.361204,0.714632,0.700003,0.252131,1.70654,0.275052,0.322726,0.341963,0.501504,0.417147,0.353318,0.535731,0.600956,0.247137
,DRC,2024,D2ELC01,,1.67767,0.604815,0.63898,0.650076,0.74619,0.695263,0.656832,0.737486,0.726858,0.591895,1.65846,0.598824,0.632047,0.642788,0.737544,0.688045,0.6495,0.727528,0.71728,0.585656,1.67695,0.605088,0.638582,0.650762,0.745504,0.695392,0.655744,0.735568,0.727146,0.592279,1.64021,0.592062,0.625172,0.636613,0.730304,0.681732,0.642375,0.718924,0.710624,0.579715
